Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
8,reference,10000,TRUE,uniform,READ,78,3997.7,0.5,0.5,0,0,0,39499,2531.709664,50018,263.4122916,79,94271,468,1496,50018
8,reference,10000,TRUE,uniform,UPDATE,78,3997.7,0.5,0.5,0,0,0,39499,2531.709664,49982,514.2374655,111,1604607,528,2203,49982
8,clean-run,10000,TRUE,uniform,READ,77.8,4018.67,0.5,0.5,0,0,0,41036,2436.884687,50142,200.6602648,102,71231,432,637,50142
8,clean-run,10000,TRUE,uniform,UPDATE,77.8,4018.67,0.5,0.5,0,0,0,41036,2436.884687,49858,608.64788,101,1277951,467,672,49858
8,avg-run,10000,TRUE,uniform,READ,77.7,4295.11,0.5,0.5,0,0,0,25553,3913.434822,49724,167.1670622,66,91007,363,533,49724
8,avg-run,10000,TRUE,uniform,UPDATE,77.7,4295.11,0.5,0.5,0,0,0,25553,3913.434822,50276,331.4731482,65,789503,373,550,50276
9,extend,10000,TRUE,uniform,EXTEND,79.3,4264.78,0,0,0,0,1,432298,1156.609561,500000,861.866322,211,1829887,638,962,500000
9,run,10000,TRUE,uniform,READ,79.3,4443.11,0.5,0.5,0,0,0,41889,2387.261572,50289,203.59689,103,37919,437,633,50289
9,run,10000,TRUE,uniform,UPDATE,79.3,4443.11,0.5,0.5,0,0,0,41889,2387.261572,49711,624.1342359,119,848895,470,679,49711
9,reference,10000,TRUE,uniform,READ,79.2,4644.69,0.5,0.5,0,0,0,49291,2028.767929,49954,264.9356808,92,65439,463,1267,49954
9,reference,10000,TRUE,uniform,UPDATE,79.2,4644.69,0.5,0.5,0,0,0,49291,2028.767929,50046,708.3100947,108,1252351,525,1529,50046
9,clean-run,10000,TRUE,uniform,READ,79,4685.04,0.5,0.5,0,0,0,51965,1924.372174,49804,207.6622159,106,70463,418,626,49804
9,clean-run,10000,TRUE,uniform,UPDATE,79,4685.04,0.5,0.5,0,0,0,51965,1924.372174,50196,816.7380668,115,1350655,464,677,50196
9,avg-run,10000,TRUE,uniform,READ,78.9,4960.93,0.5,0.5,0,0,0,29991,3334.333633,50149,181.2643921,68,38367,381,564,50149
9,avg-run,10000,TRUE,uniform,UPDATE,78.9,4960.93,0.5,0.5,0,0,0,29991,3334.333633,49851,407.7121221,67,719871,400,587,49851
10,extend,10000,TRUE,uniform,EXTEND,80.6,4936.14,0,0,0,0,1,530023,943.3552884,500000,1057.371866,228,2164735,680,1009,500000
10,run,10000,TRUE,uniform,READ,80.6,5126.59,0.5,0.5,0,0,0,55092,1815.145575,49935,217.4952438,111,57759,431,615,49935
10,run,10000,TRUE,uniform,UPDATE,80.6,5126.59,0.5,0.5,0,0,0,55092,1815.145575,50065,870.7456307,131,1407999,493,703,50065
10,reference,10000,TRUE,uniform,READ,80.4,5280.9,0.5,0.5,0,0,0,56257,1777.556571,50222,303.7107642,102,73599,443,2991,50222
10,reference,10000,TRUE,uniform,UPDATE,80.4,5280.9,0.5,0.5,0,0,0,56257,1777.556571,49778,811.1540841,132,907775,495,5055,49778
10,clean-run,10000,TRUE,uniform,READ,80,5316.54,0.5,0.5,0,0,0,66428,1505.389294,50186,262.9309768,117,83391,452,734,50186
10,clean-run,10000,TRUE,uniform,UPDATE,80,5316.54,0.5,0.5,0,0,0,66428,1505.389294,49814,1055.228631,140,1116159,513,869,49814
10,avg-run,10000,TRUE,uniform,READ,79.8,5788.83,0.5,0.5,0,0,0,33302,3002.822653,50087,198.635055,65,167423,404,605,50087
10,avg-run,10000,TRUE,uniform,UPDATE,79.8,5788.83,0.5,0.5,0,0,0,33302,3002.822653,49913,455.6186565,70,663039,420,619,49913
11,extend,10000,TRUE,uniform,EXTEND,80.4,5758.51,0,0,0,0,1,604907,826.573341,500000,1206.965048,255,1684479,749,1111,500000
