Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,
49,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,611.5926,154,80255,2287,5983,10000
49,run,1000,true,zipfian,READ,1,0,0,0,0,10000,240.7009,50,40575,724,2239,10000
50,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,615.9065,159,54111,2367,6167,10000
50,run,1000,true,zipfian,READ,1,0,0,0,0,10000,256.1697,52,38463,808,2235,10000
51,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,615.1913,158,52031,2419,6023,10000
51,run,1000,true,zipfian,READ,1,0,0,0,0,10000,270.6631,51,39071,876,2303,10000
52,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,624.8053,150,50847,2449,5743,10000
52,run,1000,true,zipfian,READ,1,0,0,0,0,10000,269.353,53,43935,880,2527,10000
53,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,673.2428,155,55327,2531,6823,10000
53,run,1000,true,zipfian,READ,1,0,0,0,0,10000,288.7902,58,39199,942,2629,10000
54,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,969.8346,136,897023,2697,8639,10000
54,run,1000,true,zipfian,READ,1,0,0,0,0,10000,264.1809,55,46015,863,2757,10000
55,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,661.335,133,48063,2707,6111,10000
55,run,1000,true,zipfian,READ,1,0,0,0,0,10000,289.5678,55,46943,1011,2743,10000
56,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,684.9688,162,68287,2685,6739,10000
56,run,1000,true,zipfian,READ,1,0,0,0,0,10000,265.3472,59,44479,792,2557,10000
57,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,640.251,167,49535,2603,5783,10000
57,run,1000,true,zipfian,READ,1,0,0,0,0,10000,291.0726,54,45471,1031,2793,10000
